Video,Detected Frames by PySceneDetect,Ground Truth Frames,Detected Frames by TransNetV2,Union,TP,FP,FN,Precision,Recall,F1 Score,FP Frames,FN Frames
A,"0, 405, 519, 569, 659, 702, 728, 954, 974, 1627","0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630","0, 405, 451, 519, 569, 658, 702, 728, 1175, 1295, 1396","[0, 405, 451, 519, 569, 658, 702, 728, 954, 974, 1175, 1295, 1396, 1627]",14,0,2,1.0,0.875,0.9333333333333333,[],"[1481, 1630]"
B,"0, 306, 417, 553, 657, 733, 843, 907, 996, 1008, 1391, 1835, 1846","0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852","0, 306, 417, 553, 657, 733, 843, 908, 1267, 1392, 1671","[0, 306, 417, 553, 657, 733, 843, 907, 996, 1008, 1267, 1391, 1671, 1835, 1846]",15,0,0,1.0,1.0,1.0,[],[]
C,"0, 376, 1681","0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681","0, 376, 1106, 1263, 1681","[0, 376, 1106, 1263, 1681]",5,0,5,1.0,0.5,0.6666666666666666,[],"[922, 931, 1175, 1621, 1631]"
D,"0, 352, 460, 545, 651, 731, 926, 937, 1716, 1727, 1780","0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780","0, 352, 460, 545, 651, 731, 1396, 1540, 1780","[0, 352, 460, 545, 651, 731, 926, 937, 1396, 1540, 1716, 1727, 1780]",13,0,1,1.0,0.9285714285714286,0.962962962962963,[],[1145]
E,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1012, 1023, 1806","0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811","0, 56, 85, 144, 413, 657, 803, 901, 947, 1210, 1345, 1562","[0, 56, 85, 144, 413, 657, 803, 901, 947, 1012, 1023, 1210, 1345, 1562, 1806]",15,0,2,1.0,0.8823529411764706,0.9375,[],"[1710, 1811]"
F,"0, 79, 90, 358, 394, 515, 574, 664, 709, 798, 1044, 1734, 1745","0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750","0, 358, 515, 574, 664, 709, 798, 1220, 1411, 1602","[0, 79, 90, 358, 394, 515, 574, 664, 709, 798, 1044, 1220, 1411, 1602, 1734, 1745]",15,1,1,0.9375,0.9375,0.9375,[394],[1049]
G,"0, 318, 458, 559, 608, 781, 858, 1580, 1990","0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999","0, 318, 458, 559, 608, 781, 1256, 1529, 1738, 1901, 1990","[0, 318, 458, 559, 608, 781, 858, 1256, 1529, 1580, 1738, 1901, 1990]",12,1,2,0.9230769230769231,0.8571428571428571,0.888888888888889,[1580],"[888, 1396]"
H,"0, 35, 133, 183, 338, 542, 692, 746, 814, 883, 1396, 1484, 1511","0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511","0, 35, 134, 183, 338, 542, 607, 692, 746, 814, 885, 1033, 1204, 1397, 1484, 1511","[0, 35, 133, 183, 338, 542, 607, 692, 746, 814, 883, 1033, 1204, 1396, 1484, 1511]",16,0,2,1.0,0.8888888888888888,0.9411764705882353,[],"[887, 1399]"
I,"0, 25, 48, 311, 488, 622, 744, 755, 888, 1090, 1102","0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107","0, 25, 48, 311, 488, 622","[0, 25, 48, 311, 488, 622, 744, 755, 888, 1090, 1102]",10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,[888],[686]
J,"0, 17, 28, 311, 457, 557, 615, 829, 904, 988, 999, 1751, 1763, 1823, 1920","0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920","0, 311, 457, 557, 615, 829, 904, 1175, 1403, 1609, 1823, 1920","[0, 17, 28, 311, 457, 557, 615, 829, 904, 988, 999, 1175, 1403, 1609, 1751, 1763, 1823, 1920]",18,0,0,1.0,1.0,1.0,[],[]
